year,CROPS,EQUIP,LIVESTOCK,CROPS_PER_CAP,EQUIP_PER_CAP,LIVESTOCK_PER_CAP
1985,41140.35,23689.23,88731.48999999999,0.3020073702678696,0.1739003692474839,0.6513693722792773
1986,42520.91,24175.29,91290.27,0.3061084314798284,0.17403814035188758,0.6571995133469635
1987,42817.49,24563.72,93275.27000000002,0.3023983530259264,0.17348117491683912,0.6587562238246242
1988,44305.54,24946.55,95349.86,0.30708451739003867,0.17290612567404592,0.6608759478229529
1989,45409.600000000006,25330.11,98196.41,0.30898661567877633,0.1723570558575968,0.668170968202881
1990,46530.939999999995,25711.37,99988.42,0.3109359296482412,0.17181231957660642,0.6681574093873623
1991,47636.89,26107.92,102986.05999999998,0.3132007205927796,0.17165308980453262,0.6771077667541108
1992,47952.56,26504.22,104275.16,0.3102821831828917,0.17149839852470156,0.6747236080106118
1993,49208.61,26896.71,103883.6,0.3134426156413621,0.17132317158617527,0.6617042689529536
1994,48709.8,27829.91,105980.54999999999,0.30550168713387943,0.17454566550846076,0.6646965667766335
1995,51091.33,28222.26,107993.16,0.31559092228721797,0.17432877676955483,0.6670732776991927
1996,51196.43,28710.74,100756.96999999999,0.3113872906200202,0.17462466699916065,0.6128247594487086
1997,51477.08,28869.85,102725.15999999999,0.3083623163229242,0.17293859360117889,0.6153528576648675
1998,51905.75,29019.15,103756.63,0.30630270448899144,0.1712458470780543,0.6122816138416962
1999,52574.020000000004,29016.38,104970.60999999999,0.3056948983033108,0.16871754020769616,0.6103581188729053
2000,53156.81,29010.78,108040.88,0.3046148247901206,0.1662461247528724,0.619127704077247
2001,54313.0,29004.34,111538.76999999999,0.3071446344553022,0.16402200959102425,0.6307612309989141
2002,54956.98,29000.63,115418.75,0.30674804643893727,0.16187000446528244,0.6442216454565751
2003,55857.06,28992.65,120493.04999999999,0.3077744411445448,0.1597505606462171,0.6639211072969413
2004,56757.15,28610.57,125144.53,0.3087732230775508,0.15564872290074258,0.680817833147458
2005,57372.31,28583.05,127043.31,0.3082179733751652,0.15355508160436657,0.6825074942785615
2006,58149.36,28532.09,126914.56999999999,0.3093775138862287,0.15180196428951456,0.6752355338483474
2007,59524.74,28522.92,124162.23999999999,0.3136694612924134,0.15030336883263334,0.6542809415657984
