country,dish,link,image,main_ingredients
El Salvador,Pupusa,/wiki/Pupusa,http://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Typical_serving_of_Pupusas_in_El_Salvador.jpg/250px-Typical_serving_of_Pupusas_in_El_Salvador.jpg,"Corn Masa or Rice Flour, cheese (usually Quesillo), pork meat, refried beans"
Eritrea,Zigini,/wiki/Wat_(food),http://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Ethiopian_wat.jpg/250px-Ethiopian_wat.jpg,"Meat (chicken, beef, or lamb), vegetables, niter kibbeh, spices"
Eritrea,injera,/wiki/Injera,http://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Alicha_1.jpg/250px-Alicha_1.jpg,"Teff flour (sometimes wheat, barley, corn or rice flour)"
Estonia,Verivorst,/wiki/Verivorst,,
Estonia,Mulgikapsad (sauerkraut stew),/wiki/Sauerkraut,,
Ethiopia,Wat,/wiki/Wat_(food),http://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Ethiopian_wat.jpg/250px-Ethiopian_wat.jpg,"Meat (chicken, beef, or lamb), vegetables, niter kibbeh, spices"
Ethiopia,injera,/wiki/Injera,http://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Alicha_1.jpg/250px-Alicha_1.jpg,"Teff flour (sometimes wheat, barley, corn or rice flour)"
Finland,Mämmi,/wiki/M%C3%A4mmi,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/M%C3%A4mmi.jpg/250px-M%C3%A4mmi.jpg,"Water, rye flour, powdered malted rye, molasses, Seville orange zest"
Finland,Sautéed reindeer,/wiki/Saut%C3%A9ed_reindeer,,
France,Crêpe,/wiki/Cr%C3%AApe,http://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Crepes_dsc07085.jpg/250px-Crepes_dsc07085.jpg,"Wheat flour or buckwheat flour, milk, eggs"
France,pot-au-feu,/wiki/Pot-au-feu,http://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Pot_au_feu2.jpg/250px-Pot_au_feu2.jpg,"Beef, vegetables (carrots, turnips, leeks, celery, onions), cartilaginous meat (oxtail, marrowbone)"
Gabon,Poulet Nyembwe,/wiki/Moambe,,Palm nuts
Georgia,Khachapuri,/wiki/Khachapuri,http://upload.wikimedia.org/wikipedia/commons/thumb/1/19/%D0%A0%D0%B5%D1%81%D1%82%D0%BE%D1%80%D0%B0%D0%BD_%D0%9D%D1%8C%D1%8E%D1%82%D0%BE%D0%BD_%D0%B2_%D0%94%D0%BE%D0%BD%D0%B5%D1%86%D0%BA%D0%B5_106.jpg/250px-%D0%A0%D0%B5%D1%81%D1%82%D0%BE%D1%80%D0%B0%D0%BD_%D0%9D%D1%8C%D1%8E%D1%82%D0%BE%D0%BD_%D0%B2_%D0%94%D0%BE%D0%BD%D0%B5%D1%86%D0%BA%D0%B5_106.jpg,"Cheese, eggs, bread"
Georgia,khinkali,/wiki/Khinkali,http://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Khinkali_crop.jpg/250px-Khinkali_crop.jpg,"Filling: spiced meat (beef. pork, or lamb), herbs, onions, garlic. Cheese, potato or mushroom fillings are alternatives to meat."
Germany,Currywurst,/wiki/Currywurst,http://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Currywurst_%26_Pommes_frites.jpg/220px-Currywurst_%26_Pommes_frites.jpg,"Pork sausage, curry ketchup"
Germany,doner kebab,/wiki/Doner_kebab,http://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/BursaDoner2013.jpg/210px-BursaDoner2013.jpg,Lamb or beef
Germany,sauerbraten,/wiki/Sauerbraten,,
Greece,Fasolada,/wiki/Fasolada,http://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Fasolada.JPG/250px-Fasolada.JPG,"Dry white beans, olive oil, vegetables"
Greece,Moussaka,/wiki/Moussaka,http://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/MussakasMeMelitsanesKePatates01.JPG/260px-MussakasMeMelitsanesKePatates01.JPG,"Eggplant or potatoes, meat"
Guyana,Pepperpot,/wiki/Guyana_Pepperpot,,"Meat (beef, pork, mutton), cinnamon, hot peppers, cassareep"
Honduras,Baleada,/wiki/Baleada,http://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Baleada.jpg/250px-Baleada.jpg,"Wheat flour, fried beans"
Honduras,Carne Asada,/wiki/Carne_Asada,http://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Parrillada_Carne_asada.jpg/250px-Parrillada_Carne_asada.jpg,Beef
Hungary,Gulyás,/wiki/Goulash,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Gulyas080.jpg/250px-Gulyas080.jpg,"Meat, noodles, vegetables (especially potatoes), paprika, spices"
Iceland,Hákarl,/wiki/H%C3%A1karl,,
India,here,/wiki/Indian_cuisine#Regional_cuisines,,
Indonesia,Gado-gado,/wiki/Gado-gado,http://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Gado-gado_in_Jakarta.JPG/250px-Gado-gado_in_Jakarta.JPG,various vegetables in peanut sauce topped with krupuk
Indonesia,Nasi Goreng,/wiki/Nasi_Goreng,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Nasi_Goreng_Sosis.jpg/250px-Nasi_Goreng_Sosis.jpg,"Fried rice with meats, vegetables and spices, usually seasoned with sweet soy sauce"
Indonesia,Sate,/wiki/Satay,http://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Sate_Ponorogo.jpg/250px-Sate_Ponorogo.jpg,
Indonesia,Soto,/wiki/Soto_(food),http://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Soto_ayam.JPG/250px-Soto_ayam.JPG,
Iran,Chelo kabab,/wiki/Chelo_kabab,,
Iran,Ghormeh sabzi,/wiki/Ghormeh_sabzi,http://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Ghormeh_Sabzi.JPG/250px-Ghormeh_Sabzi.JPG,"Herbs (parsley, leeks or green onions, cilantro, spinach), dried fenugreek leaves"
Iraq,Samak masgouf,/wiki/Masgouf,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Maskuf8.jpg/300px-Maskuf8.jpg,Large freshwater carps and barbs from the Tigris-Euphrates Basin[3]
Ireland,Colcannon,/wiki/Colcannon,http://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Colcannon.JPG/250px-Colcannon.JPG,"Mashed potatoes, kale or cabbage"
Ireland,Irish stew,/wiki/Irish_stew,http://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Irish-stew.jpg/250px-Irish-stew.jpg,"Lamb, potatoes, carrots, onions, parsley"
Israel,Israeli salad,/wiki/Israeli_salad,http://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Salad.jpg/250px-Salad.jpg,"Tomatoes, cucumbers, onions, parsley"
Italy,Pasta,/wiki/Pasta,http://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Pasta_Venice.jpg/250px-Pasta_Venice.jpg,Durum wheat flour
Italy,Polenta,/wiki/Polenta,http://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Cotechino-Servito-Polenta-Lenticchie.jpg/220px-Cotechino-Servito-Polenta-Lenticchie.jpg,"Yellow or white cornmeal, liquid (water, soup stock)"
Italy,Pizza,/wiki/Pizza,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Pizza_med_gorgonzola%2C_spinat_og_bacon%2C_March_2010.jpg/250px-Pizza_med_gorgonzola%2C_spinat_og_bacon%2C_March_2010.jpg,"Dough, often tomato sauce, cheese"
Jamaica,Ackee and Saltfish,/wiki/Ackee_and_saltfish,,
Japan,Japanese curry,/wiki/Japanese_curry,http://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Curry_rice_by_Hyougushi_in_Kyoto.jpg/250px-Curry_rice_by_Hyougushi_in_Kyoto.jpg,
Japan,Ramen,/wiki/Ramen,http://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Soy_ramen.jpg/250px-Soy_ramen.jpg,"Chinese wheat noodles, meat- or fish-based broth, vegetables and/or meat [1][2]"
Japan,Sushi,/wiki/Sushi,,
Jordan,Mansaf,/wiki/Mansaf,http://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Sakib_mansaf.jpg/220px-Sakib_mansaf.jpg,"lamb, yogurt"
Kazakhstan,Beshbarmak,/wiki/Beshbarmak,,
Kenya,Ugali,/wiki/Ugali,http://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Ugali_and_cabbage.jpg/250px-Ugali_and_cabbage.jpg,Cornmeal
Kenya,Sukuma wiki,/wiki/Sukuma_wiki,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Collard-Greens-Bundle.jpg/220px-Collard-Greens-Bundle.jpg,
Kuwait,Machboos,/wiki/Machboos,http://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Kabsa.jpg/220px-Kabsa.jpg,"rice (usually long-grain, mostly basmati), meat, spices(cardamom, saffron, cinnamon, black lime, bay leaves and nutmeg) and vegetables"
Kyrgyzstan,Beshbarmak,/wiki/Beshbarmak,,
Kyrgyzstan,laghman,/wiki/Lamian,http://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/La_mian%2C_noodles.JPG/250px-La_mian%2C_noodles.JPG,
Laos,Larb,/wiki/Larb,http://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/LaoFood_LarbNeua.JPG/250px-LaoFood_LarbNeua.JPG,"Meat (chicken, beef, duck, turkey, pork, or fish)"
Laos,sticky rice,/wiki/Sticky_rice,,
Lebanon,Kibbeh,/wiki/Kibbeh,http://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Kibbeh3.jpg/230px-Kibbeh3.jpg,
Lebanon,tabbouleh,/wiki/Tabbouleh,http://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Flickr_-_cyclonebill_-_Tabbouleh.jpg/230px-Flickr_-_cyclonebill_-_Tabbouleh.jpg,"Parsley, tomato, bulgur"
Lithuania,Cepelinai,/wiki/Cepelinai,http://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Cepelinai_Sauce.JPG/250px-Cepelinai_Sauce.JPG,"Potatoes, minced meat or dry cottage cheese (curd) or mushrooms"
Luxembourg,Judd mat Gaardebounen,/wiki/Judd_mat_Gaardebounen,,
