country,dish,link,image,main_ingredients
Russia,Borscht,/wiki/Borscht,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Borshch2.jpg/220px-Borshch2.jpg,"Potato, cabbage, beet, carrots, onion, smetana, salt"
Russia,pelmeni,/wiki/Pelmeni,http://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Pelmeni.jpg/250px-Pelmeni.jpg,"Dough: flour, water, sometimes eggs
Filling: minced meat (pork, lamb, beef, or any other kind of meat), fish, or mushrooms"
Russia,shchi,/wiki/Shchi,http://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Schi.jpg/220px-Schi.jpg,Cabbage or sauerkraut
Russia,kasha,/wiki/Kasha,http://upload.wikimedia.org/wikipedia/commons/thumb/9/96/%D0%93%D1%80%D0%B5%D1%87%D0%BD%D0%B5%D0%B2%D0%B0%D1%8F_%D0%BA%D0%B0%D1%88%D0%B0.jpg/250px-%D0%93%D1%80%D0%B5%D1%87%D0%BD%D0%B5%D0%B2%D0%B0%D1%8F_%D0%BA%D0%B0%D1%88%D0%B0.jpg,"Cereal (buckwheat, wheat, barley, oats, millet or rye)"
San Marino,Torta Tre Monti,/wiki/Torta_Tre_Monti,,"Wafers, chocolate or hazelnut creme, chocolate fondant"
Saudi Arabia,Kabsa,/wiki/Kabsa,http://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Kabsa.jpg/220px-Kabsa.jpg,"rice (usually long-grain, mostly basmati), meat, spices(cardamom, saffron, cinnamon, black lime, bay leaves and nutmeg) and vegetables"
Senegal,Thieboudienne,/wiki/Thieboudienne,,
Serbia,Ćevapčići,/wiki/%C4%86evap%C4%8Di%C4%87i,http://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Cevapcici_in_somun.jpg/220px-Cevapcici_in_somun.jpg,"Meat (lamb, or beef, somun, onion"
Serbia,Pljeskavica,/wiki/Pljeskavica,http://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Pljeskavica.jpg/288px-Pljeskavica.jpg,"Two or more of beef, lamb, pork, veal; onions"
Serbia,Ražnjići,/wiki/Ra%C5%BEnji%C4%87i,,Meat
