Brazil,Maracanaú,CE,156410,179170,207623
Brazil,Maricá,RJ,32708,63399,125491
Brazil,Marília,SP,150520,189719,207021
Brazil,Maringá,PR,234079,283978,350653
Brazil,Marituba,PA,,64884,107123
Brazil,Mauá,SP,294998,363392,417064
Brazil,Mesquita,RJ,,166080,168376
Brazil,Mogi das Cruzes (Moji das Cruzes),SP,246845,302116,357313
Brazil,Mogi Guaçu (Moji Guaçu),SP,100010,116184,130295
Brazil,Montes Claros,MG,227759,289183,344427
Brazil,Mossoró,RN,177331,199081,237241
Brazil,Natal,RN,606887,712317,803739
Brazil,Nilópolis,RJ,158092,153712,157425
Brazil,Niterói,RJ,436155,459451,487562
Brazil,Nossa Senhora do Socorro,SE,67516,131279,155823
Brazil,Nova Friburgo,RJ,144354,151851,159372
Brazil,Nova Iguaçu,RJ,1294352,754519,787563
Brazil,Novo Hamburgo,RS,201502,231989,234798
Brazil,Olinda,PE,341394,360554,370332
Brazil,Osasco,SP,568225,652593,666740
Brazil,Ourinhos,SP,70707,89376,100374
Brazil,Palhoça,SC,65791,97914,135311
Brazil,Palmas,TO,19246,134179,221742
Brazil,Paranaguá,PR,94689,122347,135386
Brazil,Parauapebas,PA,27443,59260,138690
Brazil,Parnaíba,PI,105104,124988,137485
Brazil,Parnamirim,RN,48593,109139,202456
Brazil,Passo Fundo,RS,137288,163764,180120
Brazil,Passos,MG,74223,89911,100842
Brazil,Patos de Minas,MG,87403,111333,127724
Brazil,Paulista,PE,207708,262237,300466
Brazil,Pelotas,RS,265192,301081,306193
Brazil,Petrolina,PE,125273,166279,219215
Brazil,Petrópolis,RJ,249080,270671,281286
Brazil,Pindamonhangaba,SP,95611,119078,141708
Brazil,Pinhais,PR,,100726,117008
Brazil,Piracicaba,SP,269961,317374,356743
Brazil,Poá,SP,75572,94672,104338
Brazil,Poços de Caldas,MG,105205,130826,148722
Brazil,Ponta Grossa,PR,221671,266683,304733
Brazil,Porto Alegre,RS,1247529,1320739,1409351
Brazil,Porto Seguro,BA,23315,79619,104078
Brazil,Porto Velho,RO,229788,273709,390733
Brazil,Pouso Alegre,MG,74322,97756,119590
Brazil,Praia Grande,SP,123492,193582,262051
Brazil,Presidente Prudente,SP,160227,185229,203375
Brazil,Queimados,RJ,,121993,137962
Brazil,Recife,PE,1298229,1422905,1537704
Brazil,Resende,RJ,75704,95963,112331
Brazil,Ribeirão das Neves,MG,119925,245401,294153
Brazil,Ribeirão Pires,SP,85085,104508,113068
Brazil,Ribeirão Preto,SP,426819,502760,602966
Brazil,Rio Branco,AC,168679,226298,308545
Brazil,Rio Claro,SP,132739,163477,181720
Brazil,Rio de Janeiro,RJ,5480768,5857904,6320446
Brazil,Rio Grande,RS,165025,179208,189429
Brazil,Rio Verde,GO,84142,106079,163540
Brazil,Rondonópolis,MT,113032,141838,188028
Brazil,Sabará,MG,74757,112694,123084
Brazil,Salto,SP,72333,92065,104774
Brazil,Salvador,BA,2073510,2442102,2674923
Brazil,Santa Bárbara d'Oeste,SP,141181,167917,178596
Brazil,Santa Cruz do Sul,RS,78955,93786,105190
Brazil,Santa Luzia,MG,130186,184208,202378
Brazil,Santa Maria,RS,196342,230696,248347
Brazil,Santana de Parnaíba,SP,37762,74828,108813
Brazil,Santarém,PA,180018,186297,215790
Brazil,Santa Rita,PB,76490,100475,103717
Brazil,Santo André,SP,616991,649331,676407
Brazil,Santos,SP,427273,415747,419086
Brazil,São Bernardo do Campo,SP,555495,690917,752658
Brazil,São Caetano do Sul,SP,149519,140159,149263
Brazil,São Carlos,SP,148408,183433,213061
Brazil,São Gonçalo,RJ,779832,891119,998999
Brazil,São João de Meriti,RJ,425772,449476,458673
Brazil,São José,SC,128375,171230,207312
Brazil,São José do Rio Preto,SP,275450,337289,383490
Brazil,São José dos Campos,SP,425515,532717,617106
Brazil,São José dos Pinhais,PR,111952,183366,236895
Brazil,São Leopoldo,RS,160358,192895,213238
Brazil,São Luís,MA,,837584,958522
Brazil,São Paulo,SP,9412894,9813187,11152344
Brazil,São Vicente,SP,268353,303413,331817
Brazil,Sapucaia do Sul,RS,104486,121813,130469
Brazil,Serra,ES,220615,319621,406450
Brazil,Sertãozinho,SP,73567,90531,108772
Brazil,Sete Lagoas,MG,140125,180785,208956
Brazil,Simões Filho,BA,44419,76905,105811
Brazil,Sobral,CE,103868,134508,166310
Brazil,Sorocaba,SP,374108,486726,580655
Brazil,Sumaré,SP,,193937,238470
Brazil,Suzano (Susano),SP,152003,221423,253240
Brazil,Taboão da Serra,SP,160084,197644,244528
Brazil,Tatuí,SP,69368,85613,102256
Brazil,Taubaté,SP,197801,229855,272673
Brazil,Teixeira de Freitas,BA,74221,98688,129263
Brazil,Teófilo Otoni,MG,101966,102812,110076
Brazil,Teresina,PI,556911,677470,767557
Brazil,Teresópolis,RJ,101219,115198,146207
Brazil,Timon,MA,90814,113066,135133
Brazil,Toledo,PR,72402,85920,108259
Brazil,Trindade,GO,48927,78199,100106
Brazil,Uberaba,MG,200705,244171,289376
Brazil,Uberlândia,MG,358165,488982,587266
Brazil,Uruguaiana,RS,105822,118538,117415
Brazil,Valinhos,SP,59912,78506,101626
Brazil,Valparaíso de Goiás,GO,,94856,132982
Brazil,Varginha,MG,82242,104165,119061
Brazil,Várzea Grande,MT,155307,211303,248704
Brazil,Várzea Paulista,SP,68036,92800,107089
Brazil,Vespasiano,MG,35390,75213,104527
Brazil,Viamão,RS,156145,211612,224943
Brazil,Vila Velha,ES,264236,344625,412575
Brazil,Vitória,ES,258777,292304,327801
Brazil,Vitória da Conquista,BA,188351,225545,274739
Brazil,Vitória de Santo Antão,PE,85363,99342,113429
Brazil,Volta Redonda,RJ,220097,241996,257686
Brazil,Votorantim,SP,79197,92723,104659
China,Anshan,LN,1233947,1389660,1504996
China,Anyang,HEN,410367,768992,908129
China,Baoding,HEB,471270,902496,1038195
China,Baoji,SN,401237,645414,871940
China,Baotou,NM,1044088,1420047,1900373
China,Beijing,BJ,5521949,10300723,16446857
China,Bengbu,AH,447084,696811,793866
China,Benxi,LN,759083,860838,1000128
China,Changchun,JL,1721579,2750204,3411209
